id,museu,sp,pop,coletor,localidade,municipio,uf,lon,lat,alt,xy.original,ano,mes,dia,sexo,dentes,classe,idade,peso.morto,gls,cb,nas,bbc,zb,poc,ic,lbasi,bps,bam,can,pl,max,sm,mad,alpcor,larcon,obs,replicas,gls.1,cb.1,nas.1,bbc.1,zb.1,poc.1,ic.1,lbasi.1,bps.1,bam.1,can.1,pl.1,max.1,sm.1,mad.1,alpcor.1,larcon.1,gls.2,cb.2,nas.2,bbc.2,zb.2,poc.2,ic.2,lbasi.2,bps.2,bam.2,can.2,pl.2,max.2,sm.2,mad.2,alpcor.2,larcon.2,gls.3,cb.3,nas.3,bbc.3,zb.3,poc.3,ic.3,lbasi.3,bps.3,bam.3,can.3,pl.3,max.3,sm.3,mad.3,alpcor.3,larcon.3,gls.4,cb.4,nas.4,bbc.4,zb.4,poc.4,ic.4,lbasi.4,bps.4,bam.4,can.4,pl.4,max.4,sm.4,mad.4,alpcor.4,larcon.4
2603,UFMG,Marmosops incanus,Rio Doce,Leonora Pires Costa,Parque Estadual do Rio Doce; 13 km E Marliéira,Marliéria,MG,-42.65,-19.716667,300,FALSE,1996,7,21,female,p3m4,6,adulto,33,36.11,35.42,17.67,13.81,17.89,6.58,7.19,12.69,6.6,11.21,5.11,20.69,15.21,7.55,26.56,11.16,1.17,"Usei as coordenadas do UFES2600. Coordenadas originais estranhas:  -43.383333 , -18.15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,UFMG,Marmosops incanus,Rio Doce,Yuri Luiz Reis Leite,Parque Estadual do Rio Doce; 13 km E Marliéira,Marliéria,MG,-42.65,-19.716667,300,FALSE,1996,7,21,male,p3m4,6,adulto,66,40.42,39.67,19.81,13.63,20,6.14,7.79,13.23,6.84,12.06,5.85,22.76,16.63,7.37,29.42,11.94,1.38,"Usei as coordenadas do UFES2600. Coordenadas originais estranhas:  -43.383333 , -18.15 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 495,PUC-Minas,Marmosops incanus,Belo Horizonte,Valéria C. dos Santos,APE Mutuca,Nova Lima,MG,-43.969144,-20.010342,,FALSE,1998,8,25,male,p3m4,6,adulto,79,41.32,40.95,20.79,14.09,21.02,6.38,8.13,13.91,7.09,12.37,6.12,23.23,16.38,7.21,30.96,13.05,1.43,"Animal comido por formigas. Coordenadas retiradas de SILVA, A.R.M., PONTES, D.V., GUIMARAÃES, M.P., OLIVEIRA, M.V., ASSIS, L.T.F., UEHARA-PRADO, M.Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Área de Proteção Especial Manancial  Mutuca,  Nova Lima and  Species  list  for  the  Region  of  Belo  Horizonte,Minas Gerais, Brazil.Biota Neotropica. 15(3): 1–9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 516,PUC-Minas,Marmosops incanus,Belo Horizonte,Valéria C. dos Santos,APE Mutuca,Nova Lima,MG,-43.969144,-20.010342,,FALSE,1999,1,26,male,dp3m3,4,subadulto,26,33.25,32.03,,13.25,16.72,6.59,6.62,12.05,5.46,9.91,4.77,18.28,13.18,6.01,23.47,10.35,1.08,"Coordenadas retiradas de SILVA, A.R.M., PONTES, D.V., GUIMARAÃES, M.P., OLIVEIRA, M.V., ASSIS, L.T.F., UEHARA-PRADO, M.Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Área de Proteção Especial Manancial  Mutuca,  Nova Lima and  Species  list  for  the  Region  of  Belo  Horizonte,Minas Gerais, Brazil.Biota Neotropica. 15(3): 1–9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 743,PUC-Minas,Marmosops incanus,Belo Horizonte,Denise Couto,APE Mutuca,Nova Lima,MG,-43.969144,-20.010342,,FALSE,1999,5,27,female,p3m4,6,adulto,27.52,34.21,33.32,,13.23,16.82,6.62,7.02,12.11,5.52,10.82,5.06,19,14.63,7.21,24.76,9.83,1.19,"Coordenadas retiradas de SILVA, A.R.M., PONTES, D.V., GUIMARAÃES, M.P., OLIVEIRA, M.V., ASSIS, L.T.F., UEHARA-PRADO, M.Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Área de Proteção Especial Manancial  Mutuca,  Nova Lima and  Species  list  for  the  Region  of  Belo  Horizonte,Minas Gerais, Brazil.Biota Neotropica. 15(3): 1–9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 3185,PUC-Minas,Marmosops incanus,Belo Horizonte,Denise Couto,APE Mutuca,Nova Lima,MG,-43.969144,-20.010342,,FALSE,1999,10,8,female,p3m4,6,adulto,36.31,33.54,32.59,,13.77,17.15,6.38,6.6,12.4,5.74,10.3,4.6,18.29,14.14,6.55,25.11,9.91,0.99,"Coordenadas retiradas de SILVA, A.R.M., PONTES, D.V., GUIMARAÃES, M.P., OLIVEIRA, M.V., ASSIS, L.T.F., UEHARA-PRADO, M.Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Área de Proteção Especial Manancial  Mutuca,  Nova Lima and  Species  list  for  the  Region  of  Belo  Horizonte,Minas Gerais, Brazil.Biota Neotropica. 15(3): 1–9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 3188,PUC-Minas,Marmosops incanus,Belo Horizonte,Denise Couto,APE Mutuca,Nova Lima,MG,-43.969144,-20.010342,,FALSE,1999,6,17,,dp3m4,5,adulto,,34.61,33.66,,13.55,17.17,6.29,7,12.33,5.64,10.73,4.87,19.21,14.52,7.01,24.73,10.36,1.07,"Coordenadas retiradas de SILVA, A.R.M., PONTES, D.V., GUIMARAÃES, M.P., OLIVEIRA, M.V., ASSIS, L.T.F., UEHARA-PRADO, M.Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Área de Proteção Especial Manancial  Mutuca,  Nova Lima and  Species  list  for  the  Region  of  Belo  Horizonte,Minas Gerais, Brazil.Biota Neotropica. 15(3): 1–9.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 319,PUC-Minas,Marmosops incanus,,Leonardo G. Lessa,Mina de Tamanduá VALE,Nova Lima,MG,,,,,1990,,8,male,p3m4,6,adulto,75,42.59,42.33,,14.38,21.69,6.57,8.05,13.34,6.53,11.68,6.4,23.45,16.83,7.09,31.05,13.31,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCN-M 300,PUC-Minas,Marmosops incanus,,Edeltrudes M. V. C. Câmara,,Nova Lima,MG,,,,,1997,8,15,female,p3m4,6,adulto,22,33.69,32.47,15.22,13.25,16.58,6.5,6.71,12.12,5.53,10.74,4.93,18.76,14.28,7.01,24.6,9.76,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN82826,MNHN,Marmosops incanus,Palmares,Lena Geise,Fazenda Palmares,Padre Paraíso,MG,-41.610444,-17.121556,747,TRUE,2012,3,21,male,p3m4 (p3 eclodindo),5,adulto,,34.75,33.93,16.17,13.57,17.67,6.89,6.87,12.5,5.64,11.1,4.97,19.9,14.84,7.43,24.91,9.86,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
